book	chapter	verse	latin_incipit	english_translation
Lv	0	1		1		The Lord spoke to Moses from the tabernacle of testimony, which Lapide explains as the place where the testimony, that is, the tablets of the Law, was kept. He notes that the voice proceeding from the tabernacle was sensible, not merely imaginative, formed in the air by an angel speaking in the person of God — a locution analogical, not proper to human speech, since angels lack the bodily organs of mouth, tongue, and teeth. This is the same mode of speech as Exodus 3:2, where the angel sustains the person of the Lord.
Lv	0	2		1		The mincha, or oblation of fine flour, is the second form of sacrifice. Lapide notes it figures the Mass, where bread and wine are offered — inanimate things, as here — and consecrated. St. Cyril (lib. 15, de Adoratione) teaches that these flour-offerings signified the purity of Christ, the Bread of Life, and tropologically signify the purity of intention required in those who offer sacrifice.
Lv	0	3		1		The peace-offering, or victima pacifica, was offered for the welfare of someone. Unlike the holocaust, its flesh was largely returned to the offerer and priests, and even the female could be offered, since it was less noble a sacrifice. Lapide notes this typologically signifies that Christ's sacrifice produces not only the adoration and glorification of God, but the reconciliation and peace of man with God — the res of the sacrifice returning, as it were, to benefit the offerer.
Lv	0	4		2		The sin-offering was prescribed for sins committed through ignorance or inadvertence, not presumptuous sins. Lapide teaches that the ignorance here is the ignorance of passion and weakness, not absolute nescience — for as the Wise Man says (Prov. 14:22) and Aristotle teaches (Eth. 3), every sinner acts out of a kind of ignorance, being imprudent and disordered by passion. The sin-offering thus covers the vast multitude of human frailty.
Lv	0	5		1		Concerning the guilt-offering, Lapide notes that Calvinus erroneously concluded from Leviticus 1:4 and 4 that the ancient sacrifices justified sacramentally, as baptism does now, making Jews and Christians equal in the manner of justification. Lapide refutes this from Psalm 50:18, Galatians 4:9, and Hebrews 10:4, and from the Council of Florence and Trent (sess. 7, can. 2): the old sacrifices profited in three ways — for remission of temporal punishment, for legal cleansing, and by conferring a kind of legal justice that was the figure of true internal renewal.
Lv	0	6		9		The fire upon the altar must burn continually, never going out (Lev. 6:13). Lapide draws the tropological sense from Origen: this perpetual fire is the unceasing love of God in the heart of the just, which must never be extinguished by negligence, distraction, or sin. As the material fire was kept alive by the priests adding wood, so the fire of charity is preserved in the soul by the constant fuel of prayer, reading, penance, and the sacraments.
Lv	0	7		11		The various species of peace-offerings — for thanksgiving, for a vow, and voluntary — signify the three principal motives of prayer and sacrifice: gratitude for benefits received, the fulfilment of vows made in necessity, and the free overflow of devotion. Lapide says these are also the three movements of the Mass: thanksgiving (eucharistia), oblation from necessity and debt, and the spontaneous self-offering of love.
Lv	0	8		1		The consecration of Aaron and his sons as priests prefigures the ordination of Christian priests. Lapide cites St. Ambrose and St. Isidore: the washing, anointing, vesting, and the placing of hands all correspond to elements of Christian ordination. The Pontifical still retains these rites. Aaron himself is a supreme type of Christ the High Priest, who washes, anoints, and consecrates the Church.
Lv	0	9		24		Fire came forth from before the Lord and consumed the holocaust and the fat portions upon the altar (Lev. 9:24). Lapide explains that this miraculous fire from heaven was the sign of God's acceptance of the priesthood and sacrifice of Aaron. He notes this same heavenly fire descended upon Elijah's sacrifice at Carmel (3 Kg. 18), and allegorically signifies the Holy Ghost descending upon the apostles and illuminating the altar of the Church.
Lv	0	10		1		Nadab and Abihu, sons of Aaron, offering strange fire before the Lord, were consumed. Lapide teaches that this was a figure of the death of heretics who offer worship not according to divine institution. The fire was "strange" because it was not taken from the altar of holocausts as God commanded, but was self-chosen worship. As St. Ambrose says: it is impiety to introduce new rites into the liturgy uninstructed by divine authority.
Lv	0	11		2		# GEM The distinction of clean and unclean animals (Lev. 11) was ordained for four reasons, Lapide teaches following Eleazar the priest, Tertullian (lib. de Cibis Judaicis), Origen, and Augustine. First, to exercise the rude people in temperance and obedience. Second, to keep Israel from the pollution of Gentile idolatrous feasts. Third, to prepare them for Christ who was to come, forming them in purity of body as figure of purity of soul. Fourth and most important: the unclean animals were symbols of vices, from which the clean animals called men to turn away.
Lv	0	12		2		The purification of a woman after childbirth and the offering of a lamb or two turtledoves after forty or eighty days (depending on the sex of the child) is a legal ordinance that does not imply any sin in childbirth itself, Lapide insists against those who thought it did. Rather it signified the legal impurity of what pertains to the generation of the body, in contrast with the pure generation of the spirit. Our Lord Himself was presented in the Temple under this law (Luke 2:22), though He had no need of purification, thus fulfilling the Law for our sake.
Lv	0	13		2		The law of leprosy is treated at length in chapters 13-14. Lapide follows the common teaching of the Fathers (Origen, hom. 8 in Lev.; Cyril, lib. 6 de Adoratione) that leprosy figures mortal sin: as the leper was excluded from the camp and had to cry out "Unclean! Unclean!" (Lev. 13:45), so the mortal sinner is excluded from the sacraments and fellowship of the faithful until reconciled through confession. The priest-physician examining the leper corresponds to the confessor examining the soul.
Lv	0	14		4		The purification rite for the healed leper involves two birds, cedar wood, scarlet thread, and hyssop. Lapide cites Origen (hom. 8 in Lev.) and the Fathers explaining the allegorical significance: the two birds signify the two natures of Christ — one is sacrificed (His death), the other released (His resurrection); the cedar and hyssop signify the height of His divinity and the humility of His Incarnation; the scarlet thread, His passion. The living bird dipped in the blood and released over the field mirrors the Resurrection.
